,id,Player,Year,Age,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,born,season,PPG,APG,RPG,SPG,BPG,MVP,Champion,HOF
0,3,Mahmoud Abdul-Rauf,1994.0,24.0,73.42857142857143,48.0,2087.4285714285716,15.242857142857144,0.5078571428571428,0.17971428571428572,0.14785714285714285,1.5571428571428572,6.228571428571429,3.8428571428571425,22.657142857142862,1.5571428571428572,0.18571428571428572,10.414285714285715,25.485714285714288,2.385714285714286,1.1714285714285713,3.5285714285714285,0.07271428571428572,0.8,-3.057142857142857,-2.2714285714285714,0.028571428571428532,470.14285714285717,1060.5714285714287,0.44185714285714284,66.42857142857143,184.85714285714286,0.343,403.7142857142857,875.7142857142857,0.46,0.47428571428571425,144.71428571428572,159.42857142857142,0.897,29.714285714285715,116.71428571428571,146.42857142857142,277.85714285714283,66.0,6.285714285714286,131.14285714285714,146.42857142857142,1151.4285714285713,1969.0,4.0,15.777781632012667,3.8806017065464418,2.0022267087788075,0.9072015201038255,0.0841098415522438,0.0,0.0,0.0
1,44,Courtney Alexander,2002.5,24.5,61.0,17.5,1342.5,11.45,0.49,0.0755,0.272,3.5,8.05,5.75,10.55,1.2999999999999998,0.35,10.45,20.85,0.8500000000000001,0.8,1.6500000000000001,0.06,-1.85,-1.95,-3.8,-0.6,208.0,489.5,0.426,12.0,37.5,0.3055,196.0,452.0,0.433,0.4385,108.0,133.5,0.8089999999999999,41.0,92.0,133.0,82.5,33.0,6.5,64.0,119.0,536.0,1977.0,2.5,8.863906926406926,1.3663419913419914,2.215367965367965,0.5473484848484849,0.10795454545454546,0.0,0.0,0.0
2,58,Ray Allen,2005.3684210526317,29.36842105263158,68.42105263157895,60.473684210526315,2439.157894736842,18.52631578947368,0.5814736842105264,0.4023157894736842,0.25578947368421057,3.2157894736842105,10.36315789473684,6.842105263157895,16.65789473684211,1.6842105263157894,0.4105263157894738,11.468421052631578,23.773684210526323,5.873684210526315,1.7578947368421047,7.6421052631578945,0.14926315789473685,4.205263157894737,-1.2473684210526317,2.952631578947369,3.0526315789473686,450.89473684210526,997.6315789473684,0.45184210526315793,156.47368421052633,391.0,0.3979999999999999,294.42105263157896,606.6315789473684,0.488578947368421,0.5321578947368422,231.47368421052633,258.94736842105266,0.8965263157894738,64.73684210526316,212.73684210526315,277.4736842105263,229.52631578947367,76.36842105263158,12.842105263157896,142.57894736842104,150.42105263157896,1289.7368421052631,1975.0,9.368421052631579,19.124944770726394,3.4527872808314006,4.118728068127514,1.1377633112706291,0.1851333010772341,0.0,0.10526315789473684,0.0
3,146,D.J. Augustin,2012.625,24.625,68.875,23.625,1681.625,13.837499999999999,0.53725,0.43562500000000004,0.320625,1.3125,7.237500000000001,4.2375,27.350000000000005,1.3,0.1375,14.5625,20.05,2.3000000000000003,1.1624999999999999,3.4374999999999996,0.0945,0.8125,-2.625,-1.8375,0.16249999999999998,224.375,558.375,0.3955000000000001,86.625,233.875,0.368,137.75,324.5,0.41200000000000003,0.47574999999999995,155.0,178.875,0.857125,19.125,105.625,124.75,274.375,40.875,2.5,105.25,106.25,690.375,1987.0,4.625,10.214707243133635,4.14308451177184,1.836156504747029,0.6078430455865338,0.035776004862712284,0.0,0.0,0.0
4,200,Harrison Barnes,2015.0,22.0,77.2,65.0,2285.0,12.559999999999999,0.537,0.27,0.24620000000000003,3.9599999999999995,13.419999999999998,8.780000000000001,7.4799999999999995,1.26,0.5399999999999999,9.16,18.119999999999997,2.12,2.34,4.44,0.09380000000000001,-0.8400000000000001,-0.11999999999999995,-0.96,0.58,351.4,775.2,0.4508,73.0,197.2,0.369,278.4,578.0,0.48040000000000005,0.5012000000000001,145.2,187.2,0.7636,81.4,282.4,363.8,112.8,57.0,15.6,83.0,141.6,921.0,1992.0,3.0,11.944786963424402,1.4730860215371895,4.714447944426333,0.7351732480373008,0.20046912977858744,0.0,0.2,0.0
5,204,Matt Barnes,2012.0,31.0,70.18181818181819,30.09090909090909,1771.5454545454545,13.145454545454545,0.5444545454545454,0.47245454545454546,0.21027272727272728,5.5636363636363635,16.827272727272728,11.254545454545454,11.79090909090909,1.6181818181818182,1.7,14.054545454545455,16.963636363636365,1.6636363636363634,1.9545454545454548,3.627272727272727,0.09890909090909092,0.4636363636363637,0.8181818181818183,1.290909090909091,1.4999999999999998,232.27272727272728,533.5454545454545,0.43654545454545457,86.72727272727273,257.1818181818182,0.33345454545454545,145.54545454545453,276.3636363636364,0.5254545454545454,0.5155454545454545,81.9090909090909,108.63636363636364,0.7546363636363634,81.9090909090909,262.45454545454544,344.3636363636364,137.45454545454547,56.81818181818182,38.0,93.54545454545455,186.36363636363637,633.1818181818181,1980.0,9.0,8.902484264622574,1.9663231487173165,4.905325938134273,0.800148654906807,0.5338463795275917,0.0,0.0,0.0
6,206,Jim Barnett,1975.0,30.0,64.33333333333333,,1317.6666666666667,14.5,0.5113333333333333,,0.33266666666666667,4.166666666666667,6.333333333333333,5.266666666666667,15.299999999999999,1.2666666666666668,0.39999999999999997,,,1.9666666666666668,0.6333333333333333,2.5666666666666664,0.09000000000000001,0.09999999999999998,-1.9000000000000001,-1.8,0.13333333333333333,243.0,535.3333333333334,0.45133333333333336,,,,243.0,535.3333333333334,0.45133333333333336,0.45133333333333336,143.33333333333334,176.0,0.811,56.333333333333336,89.66666666666667,146.0,145.33333333333334,38.333333333333336,10.0,,113.66666666666667,629.3333333333334,1944.0,9.0,10.130021882134558,2.3421119308443252,2.3223326490932124,0.6143595580215299,0.18022207317981964,0.0,0.0,0.0
7,364,Bojan Bogdanovic,2016.0,26.0,70.66666666666667,40.333333333333336,1817.0,11.799999999999999,0.5613333333333334,0.44933333333333336,0.211,2.2,11.300000000000002,6.733333333333333,7.733333333333333,0.8000000000000002,0.26666666666666666,11.800000000000002,19.666666666666664,1.2333333333333334,0.4333333333333333,1.6333333333333335,0.04533333333333334,-0.26666666666666666,-2.466666666666667,-2.733333333333333,-0.3666666666666667,284.6666666666667,645.3333333333334,0.442,106.33333333333333,290.3333333333333,0.3646666666666667,178.33333333333334,355.0,0.5046666666666666,0.524,114.33333333333333,135.0,0.8426666666666667,36.333333333333336,185.33333333333334,221.66666666666666,85.66666666666667,29.0,5.666666666666667,95.0,107.33333333333333,790.0,1989.0,2.0,11.479523570662812,1.2537743550401779,3.180145171284412,0.41311655995200297,0.07774040305685875,0.0,0.0,0.0
8,446,J.R. Bremer,2003.0,22.0,64.0,41.0,1503.0,12.7,0.515,0.616,0.239,1.3,9.8,5.5,19.2,1.3,0.2,10.3,17.7,1.8,1.2,3.0,0.096,0.1,-2.0,-1.9,0.0,171.0,464.0,0.369,101.0,286.0,0.353,70.0,178.0,0.393,0.477,85.0,111.0,0.7659999999999999,18.0,127.0,145.0,164.0,38.0,3.0,59.0,80.0,528.0,1980.0,1.0,8.25,2.5625,2.265625,0.59375,0.046875,0.0,0.0,0.0
9,454,Ronnie Brewer,2010.0,24.0,71.4,50.6,1954.2,14.679999999999998,0.538,0.095,0.33480000000000004,4.4399999999999995,9.860000000000001,7.24,11.7,2.82,0.82,9.86,15.919999999999998,2.7399999999999998,2.82,5.539999999999999,0.13440000000000002,0.26000000000000006,1.8,2.04,2.04,275.2,550.0,0.4936,13.2,52.4,0.2468,262.0,497.6,0.5182,0.5058,133.2,194.0,0.6616000000000001,73.8,164.4,238.2,148.2,106.0,21.4,68.8,92.8,696.8,1985.0,4.0,9.659802259603648,2.125248735841255,3.340583814532838,1.4808793551759456,0.29863519894966434,0.0,0.0,0.0
