id,Player,PTS,PPG
3095,Chris Paul,15610.0,18.698743859478597
1749,Terry Porter,15586.0,12.204917465124401
713,Walt Frazier*,15581.0,18.923959846112407
1157,Artis Gilmore*,15579.0,18.18000025590845
2399,Rashard Lewis,15579.0,16.6742066590455
1168,Dennis Johnson*,15535.0,14.065441758808245
795,Bob Dandridge,15530.0,18.94222819224293
452,Sam Jones*,15411.0,18.564507591122695
1993,Tim Hardaway,15373.0,17.57297383981402
1993,Tim Hardaway,15373.0,12.042302740755625
1626,Tim Hardaway,3097.0,17.57297383981402
1626,Tim Hardaway,3097.0,12.042302740755625
491,Dick Barnett,15358.0,16.47565228207709
2000,Shawn Kemp,15347.0,14.68788496603337
1679,Sam Perkins,15324.0,12.781904851110559
1030,John Drew,15291.0,20.87100323575094
3324,Russell Westbrook,15156.0,22.789485007620836
3127,LaMarcus Aldridge,15136.0,19.017299337191716
1631,Byron Scott,15097.0,14.01640061436384
2448,Shareef Abdur-Rahim,15028.0,18.644495686383074
2815,Richard Jefferson,14874.0,13.557136503514158
1247,James Edwards,14862.0,14.36979309973885
3056,Monta Ellis,14858.0,18.77544225499256
2585,Mike Bibby,14698.0,15.14638148693953
424,Richie Guerin*,14676.0,17.732485645342802
1167,Dan Issel*,14659.0,20.373431425151498
1066,Jamaal Wilkes*,14644.0,18.185130091788533
1328,Purvis Short,14607.0,17.33607529934516
839,Spencer Haywood*,14592.0,19.738235351036067
2276,Allan Houston,14551.0,17.438270153648237
437,Bill Russell*,14522.0,15.114926993849425
1919,Hersey Hawkins,14470.0,15.153786114571723
1565,Ricky Pierce,14467.0,17.054717431775778
3884,Rod Strickland,14463.0,14.23166840851142
619,Nate Thurmond*,14437.0,15.879919474892382
2218,Alonzo Mourning*,14311.0,18.18313303294046
2079,Eddie Jones,14155.0,15.63794803420247
1118,Gus Williams,14093.0,17.603050279857776
568,Dave DeBusschere*,14053.0,16.22307700948572
611,Jerry Lucas*,14053.0,16.869115697719508
886,Fred Brown,14018.0,14.923329721292426
2848,Carlos Boozer,13976.0,16.26892157960355
1070,Alvan Adams,13910.0,14.069601575837726
689,Bob Love,13895.0,19.003741367133255
1259,Marques Johnson,13892.0,20.27276205061293
3151,Rudy Gay,13860.0,18.504103534234304
1806,Chuck Person,13858.0,15.52040578653931
3119,Deron Williams,13804.0,16.636910528102185
1424,Bill Laimbeer,13790.0,13.2472420106292
2637,Peja Stojakovic,13647.0,16.974361214785585
651,Billy Cunningham*,13626.0,21.038537892567366
1528,Orlando Woolridge,13623.0,16.2126167972259
3356,James Harden,13618.0,21.955224727573995
1740,Xavier McDaniel,13606.0,15.635006954660765
2971,David West,13539.0,16.12398873317195
830,Dave Cowens*,13516.0,17.148210319442903
2859,Manu Ginobili,13467.0,13.476621307901606
425,Cliff Hagan*,13447.0,19.33085877839042
2663,Baron Davis,13447.0,16.41920830539603
2169,Steve Smith,13430.0,15.436118854259433
1982,Vlade Divac,13398.0,12.015223612118453
873,Rudy Tomjanovich,13383.0,16.981580066668027
2494,Jermaine O'Neal,13309.0,16.86040141895034
2600,Al Harrington,13237.0,14.752455922083824
2989,Luol Deng,13202.0,14.677440205226254
2685,Corey Maggette,13198.0,16.25565475152441
2028,Kevin Johnson,13127.0,17.464747302629316
3342,Stephen Curry,13088.0,23.152699867415063
640,Jeff Mullins,13017.0,17.90654679008172
1847,Horace Grant,12996.0,11.055661261701255
3759,Josh Smith,12994.0,15.174530333671516
1936,Stephen Jackson,12976.0,15.901285239020666
509,Bob Boozer,12964.0,15.079824066090266
2071,Kendall Gill,12914.0,13.329975899089153
2062,Derrick Coleman,12884.0,17.25106074794991
1759,Wayman Tisdale,12878.0,16.155531669426455
1955,Rik Smits,12871.0,14.977169333546827
973,Paul Westphal,12809.0,17.378748034393922
925,Sidney Wicks,12803.0,16.347688635760356
2689,Lamar Odom,12781.0,13.288424822005782
1040,Mickey Johnson,12748.0,14.442605070590453
1804,Johnny Newman,12740.0,11.956576320295833
1343,Bill Cartwright,12713.0,13.720849104739983
1846,Armen Gilliam,12700.0,14.413281195917927
2205,Jim Jackson,12690.0,15.059347379970697
1776,Dell Curry,12670.0,13.428209624971515
253,Bill Sharman*,12665.0,18.019093340159973
1232,Otis Birdsong,12544.0,18.111101486146342
690,Jack Marin,12541.0,15.172169197100974
1852,Mark Jackson,12489.0,9.904699354983642
366,Red Kerr,12480.0,13.770752754336618
2852,Caron Butler,12430.0,14.82520577511108
1746,Charles Oakley,12417.0,9.919576482169978
2560,Kevin Martin,12396.0,19.202681756675652
1411,Darrell Griffith,12391.0,16.00330989566227
696,Cazzie Russell,12377.0,15.33275725307689
1933,Danny Manning,12367.0,14.889190590799442
1183,Maurice Lucas,12339.0,14.317603382380575
1500,A.C. Green,12331.0,9.894713241888295
495,Johnny Green,12281.0,12.586444019434474
1544,Sleepy Floyd,12260.0,14.78395661570527
2416,Antonio McDyess,12227.0,12.538763437493754
1294,Maurice Cheeks,12195.0,11.310046095633552
426,Tom Heinsohn*,12194.0,18.556033300609133
642,Willis Reed*,12183.0,18.925922248566085
1517,Kelly Tripucka,12142.0,18.202366877854654
1315,John Long,12131.0,14.822318982450959
1271,Norm Nixon,12065.0,15.3776062633545
1050,Truck Robinson,11988.0,17.193838079684177
2757,Michael Redd,11972.0,20.8911554293441
2619,Cuttino Mobley,11964.0,15.934724866100463
1468,Danny Ainge,11964.0,12.337114921417257
1972,Mookie Blaylock,11962.0,13.680361727705547
336,Clyde Lovellette*,11947.0,18.961671191901686
1524,Herb Williams,11944.0,13.764942559325732
1377,Sidney Moncrief,11931.0,15.5184489798847
1064,Scott Wedman,11916.0,14.492602859701208
3172,Paul Millsap,11890.0,14.387105767367371
2312,David Wesley,11842.0,13.336098370053284
2245,Vin Baker,11839.0,16.5631263649298
1593,Thurl Bailey,11834.0,13.108865685009933
1675,Jerome Kersey,11825.0,11.079647184206765
1366,Vinnie Johnson,11825.0,12.282160083481548
677,Archie Clark,11819.0,16.296266942345913
643,Paul Silas,11782.0,9.612682021200339
2435,Damon Stoudamire,11763.0,13.991079580034407
698,Dick Snyder,11755.0,13.819867873312905
1765,Gerald Wilkins,11736.0,13.2126297447615
2158,Dikembe Mutombo*,11729.0,10.517762298285891
738,Jimmy Walker,11655.0,16.713642920617602
2292,Jamal Mashburn,11644.0,19.037887775019904
580,Kevin Loughery,11575.0,16.26826812073924
522,Don Ohl,11549.0,17.022977565816568
1075,Junior Bridgeman,11517.0,13.86289743035573
500,Rudy LaRusso,11507.0,15.49703292830828
630,Happy Hairston,11505.0,15.716082987795366
3344,DeMar DeRozan,11456.0,19.2661034847242
2030,Larry Johnson,11450.0,15.795424292344752
1258,Larry Johnson,6.0,15.795424292344752
3752,J.R. Smith,11395.0,13.15438956376746
1200,Dan Roundfield,11318.0,15.570136801189784
433,Willie Naulls,11305.0,15.56499616599071
2884,Tayshaun Prince,11272.0,11.559016660671363
1213,David Thompson*,11264.0,22.122170397487643
114,Ed Macauley*,11234.0,17.725867943718526
2359,David Lee,11232.0,14.34599856886644
3757,Joe Smith,11208.0,12.290188634251804
847,John Johnson,11200.0,13.07844759961963
3137,Jim Paxson,11199.0,14.330824058836637
3137,Jim Paxson,11199.0,8.05875551818373
434,Jim Paxson,1105.0,14.330824058836637
434,Jim Paxson,1105.0,8.05875551818373
2210,Christian Laettner,11121.0,14.308858443109383
2996,Ben Gordon,11084.0,15.695573388908688
1080,Mike Dunleavy,11048.0,11.652061202327722
1080,Mike Dunleavy,11048.0,8.337348049038294
1145,Mike Dunleavy,3496.0,11.652061202327722
1145,Mike Dunleavy,3496.0,8.337348049038294
2770,Hedo Turkoglu,11022.0,11.954052398514497
565,Bill Bridges,11012.0,12.357622893533863
1809,Mark Price,10989.0,15.076607671977598
1465,Mike Woodson,10981.0,16.162724687787232
